title,resource,mood
දුක හිතුනට කමක් නෑ - Better Health Channel,https://www.betterhealth.vic.gov.au/health/healthyliving/its-okay-to-feel-sad,sad
මානසික අවපීඩනයෙන් මිදෙන්නේ කෙසේද: අර්ථවත් බලපෑමක් ඇති කිරීම සඳහා ඔබට දැන් කළ හැකි කරුණු 5 ක්,https://www.psycom.net/therapist-plan-for-overcoming-depression/,sad
මානසික අවපීඩනයෙන් පෙළෙන කෙනෙකුට උදව් කිරීම,https://www.helpguide.org/articles/depression/helping-someone-with-depression.htm,sad
මානසික අවපීඩනයට සාර්ථකව මුහුණ දීම,https://www.helpguide.org/articles/depression/coping-with-depression.htm,sad
මානසික අවපීඩනයෙන් සුවය ලැබීම: සංජානන සහ ආශ්රිත සාධක පිළිබඳ ක්රමානුකූල සමාලෝචනයක්,https://www.tandfonline.com/doi/full/10.1080/09638237.2017.1370629,sad
සන්තෝෂ වන්නේ කෙසේද - හොඳ මාර්ගෝපදේශකයින් - New York Times,https://www.nytimes.com/guides/well/how-to-be-happy,sad
ඔබේ ජීවිතයේ සතුට සොයා ගන්නේ කෙසේද - Very Well Mind,https://www.verywellmind.com/how-to-find-happiness-4584480,sad
සතුටින් සිටින්නේ කෙසේද: සැබෑ සතුට සොයා ගැනීමට රහස් යතුරක් තිබේද?,https://positivepsychology.com/how-to-be-happy/,sad
සතුට වගා කිරීම,https://www.helpguide.org/articles/mental-health/cultivating-happiness.htm,sad
සතුටු වන්නේ කෙසේද: සතුට සොයා ගැනීමට සරල පියවර 6 | Calmer,https://www.thisiscalmer.com/blog/how-to-find-happiness-6-steps,sad
සතුට | Psychology Today,https://www.psychologytoday.com/intl/basics/happiness,sad
ඔබ මෙම නීති අනුගමනය කරන්නේ නම් ඔබට නිර්මාණශීලී ජීවිතයක් ගත කළ හැකිය,https://www.lifehack.org/articles/productivity/you-can-have-creative-life-you-follow-these-rules.html,happy
නිර්මාණශීලී ජීවිතයක් ගත කිරීමට ධනාත්මක මාර්ග 7ක් | Jan Fortune විසින්,https://janfortune.medium.com/7-positive-ways-to-have-a-creative-life-e0fcc98d74dd,happy
ඔබේ නිර්‍මාණාත්මක බව වර්‍ධනය කිරීමට ක්‍රම 17 ක් - Verywell Mind,https://www.verywellmind.com/how-to-boost-your-creativity-2795046,happy
නිර්‍මාණාත්මක ජීවිතයක් ගත කිරීම සඳහා උපදෙස් 5 ක් - Ellenhorn,https://www.ellenhorn.com/blog/5-tips-for-living-a-creative-life/,happy
නිර්මාණාත්මක ජීවන සැලසුම: සලකා බැලිය යුතු ප්‍රධාන අංශ 10 ක්, https://www.thegreatcreativelife.com/10-domains-of-the-great-creative-life/,happy
වඩාත් නිර්‍මාණාත්මක ජීවිතයක් ගත කිරීමට ක්‍රම 10 ක් - Positively Stacey,https://positivelystacey.com/2016/04/10-ways-to-live-a-more-creative-life/,happy
වඩාත් නිර්මාණශීලී වන්නේ කෙසේද - Artsy,https://www.artsy.net/article/artsy-editorial-live-creative-life,happy